OriginalOrderInBatch,ExternalSampleID,Mice ID,Birthday,BirthMonth,BirthSeason,CollectionSeason,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,SpeciesLatinName,SpeciesCommonName,Tissue,Female,Folder,PlateNumber,WellAddress,Specimen,Monogamous,ShortSpecies,Altitude,Condition,Sex,Batch,ProjectID,AnimalID,SpeciesAbbreviation,SpeciesLatinNameDetailed,ClusteringBranch,SpeciesColor,ClusteringColor,Age_by_days
10,35639,35639 BW,5/30/2017,5,summer,summer,203877620077_R04C02,1.91,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B02,BW23M,no,Manic.,low,NA,M,1,2019-9262,35639,BW,Peromyscus maniculatus bairdii,1,green,red,697
23,35750,35750 BW,8/22/2017,8,summer,summer,203877620014_R05C02,1.91,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,G03,BW23F,no,Manic.,low,NA,F,1,2019-9262,35750,BW,Peromyscus maniculatus bairdii,1,green,red,697
37,36675,36675 BW,4/9/2019,4,summer,summer,203877620084_R01C01,0.33,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,E05,BW4F,no,Manic.,low,NA,F,1,2019-9262,36675,BW,Peromyscus maniculatus bairdii,1,green,red,120
42,36501,36501 BW,1/25/2019,1,winter,summer,203877620084_R06C01,0.58,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,B06,BW7M,no,Manic.,low,NA,M,1,2019-9262,36501,BW,Peromyscus maniculatus bairdii,1,green,red,212
52,36549,36549 BW,2/26/2019,2,winter,summer,203877620057_R04C01,0.5,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D07,BW6F,no,Manic.,low,NA,F,1,2019-9262,36549,BW,Peromyscus maniculatus bairdii,1,green,red,182
54,10878,10878 SM2,2/22/2018,2,winter,summer,203877620057_R06C01,0.33,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,F07,SM4F,no,Manic.,high,high altitude,M,1,2019-9262,10878,SM2,Peromyscus maniculatus sonoriensis,1,green,red,120
73,10865,10865 SM2,1/16/2018,1,winter,summer,203877620089_R01C01,0.41,100,yes,Peromyscus maniculatus,Eastern deer mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A10,SM5F,no,Manic.,high,high altitude,F,1,2019-9262,10865,SM2,Peromyscus maniculatus sonoriensis,1,green,red,150
20,7305,7305 IS,8/29/2018,8,summer,summer,203877620014_R02C02,1.08,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,D03,IS13M,yes,Califor.,NA,NA,M,1,2019-9262,7305,IS,Peromyscus californicus insignis,4,turquoise,turquoise,394
75,7301,7301 IS,8/29/2018,8,summer,summer,203877620089_R03C01,1.08,100,yes,Peromyscus californicus,California mouse,Tail,0,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,C10,IS13M,yes,Califor.,NA,NA,M,1,2019-9262,7301,IS,Peromyscus californicus insignis,4,turquoise,turquoise,394
33,2606,2606 EP,12/27/2017,12,winter,summer,203877620025_R03C02,1.66,100,yes,Peromyscus eremicus,Cactus mouse,Tail,1,N40.2019-9262.2020-9084PeromyscusHippokratisKiaris,Plate 01,A05,EP20F,yes,Eremic.,NA,NA,F,1,2019-9262,2606,EP,Peromyscus eremicus,3,blue,blue,606
